fecha,goles_local,goles_visitante,lambda_local,lambda_visitante,p_local,p_empate,p_visitante,real,pred,correcto
2026-03-27,2.0,0.0,0.8180000185966492,3.739000082015991,0.0389,0.0824,0.7934,0,2,False
2026-03-27,2.0,2.0,1.3930000066757202,2.625999927520752,0.1806,0.1853,0.6155,1,2,False
2026-03-27,3.0,1.0,1.2699999809265137,0.5569999814033508,0.5312,0.3146,0.1538,0,1,False
2026-03-27,1.0,0.0,1.6039999723434448,0.5770000219345093,0.6153,0.2609,0.1224,0,0,True
2026-03-27,3.0,0.0,2.572000026702881,0.25699999928474426,0.852,0.1114,0.0203,0,0,True
2026-03-27,1.0,1.0,1.4759999513626099,0.925000011920929,0.4893,0.2834,0.2264,1,0,False
2026-03-27,4.0,2.0,0.9750000238418579,2.502000093460083,0.1209,0.1789,0.6858,0,2,False
2026-03-28,4.0,0.0,0.8309999704360962,2.072999954223633,0.1323,0.2136,0.6486,0,2,False
2026-03-28,2.0,0.0,2.1570000648498535,0.27799999713897705,0.8037,0.1569,0.0327,0,0,True
2026-03-28,0.0,1.0,0.05,1.815999984741211,0.0072,0.1714,0.8187,2,2,True
2026-03-28,2.0,5.0,1.4140000343322754,2.369999885559082,0.2137,0.2044,0.5704,2,2,True
2026-03-28,2.0,2.0,2.2230000495910645,0.26499998569488525,0.8155,0.1475,0.0291,1,0,False
2026-03-28,0.0,0.0,1.100000023841858,1.9529999494552612,0.2017,0.2343,0.5598,1,2,False
2026-03-28,0.0,1.0,0.847000002861023,2.2179999351501465,0.1224,0.1992,0.6706,2,2,True
2026-03-29,1.0,3.0,1.9140000343322754,2.0869998931884766,0.3541,0.218,0.4186,2,2,True
2026-03-30,2.0,1.0,2.3550000190734863,0.7039999961853027,0.7261,0.176,0.0873,0,0,True
2026-03-30,4.0,1.0,3.559000015258789,0.7409999966621399,0.8051,0.0869,0.0381,0,0,True
2026-03-30,0.0,0.0,1.4429999589920044,0.49799999594688416,0.5973,0.2833,0.1187,1,0,False
2026-03-30,1.0,1.0,1.3619999885559082,0.6470000147819519,0.5317,0.2999,0.1678,1,0,False
2026-03-31,1.0,1.0,2.0409998893737793,0.5809999704360962,0.7059,0.2017,0.0873,1,0,False
2026-03-31,0.0,1.0,1.1260000467300415,1.7949999570846558,0.229,0.2493,0.519,2,2,True
2026-03-31,0.0,0.0,2.443000078201294,1.343000054359436,0.5976,0.1976,0.1917,1,0,False
2026-03-31,2.0,1.0,0.9399999976158142,2.000999927520752,0.1618,0.2258,0.6078,0,2,False
2026-03-31,3.0,2.0,1.5829999446868896,0.4869999885559082,0.6361,0.2595,0.1032,0,0,True
2026-03-31,0.0,2.0,1.562999963760376,1.4079999923706055,0.4023,0.2616,0.3343,2,0,False
2026-03-31,2.0,1.0,1.8509999513626099,0.8209999799728394,0.6061,0.2383,0.1526,0,0,True
2026-03-31,1.0,1.0,3.190999984741211,1.0640000104904175,0.7395,0.1302,0.0862,1,0,False
2026-03-31,1.0,0.0,0.7590000033378601,0.8199999928474426,0.2944,0.3765,0.3291,0,1,False
2026-03-31,0.0,0.0,1.86899995803833,1.8250000476837158,0.3908,0.2298,0.3735,1,0,False
2026-03-31,0.0,0.0,1.9730000495910645,1.0609999895095825,0.5731,0.2317,0.1908,1,0,False
2026-03-31,0.0,0.0,1.246999979019165,0.9020000100135803,0.4315,0.3106,0.2576,1,1,True
2026-03-31,1.0,0.0,1.6660000085830688,1.3029999732971191,0.4491,0.2579,0.2909,0,0,True
2026-03-31,3.0,1.0,2.875999927520752,0.37400001287460327,0.8478,0.0998,0.0248,0,0,True
2026-03-31,2.0,2.0,1.7610000371932983,0.902999997138977,0.5653,0.2508,0.1816,1,0,False
2026-03-31,0.0,1.0,1.180999994277954,3.811000108718872,0.0675,0.0997,0.7407,2,2,True
2026-03-31,2.0,1.0,1.8830000162124634,0.5569999814033508,0.6823,0.2202,0.0942,0,0,True
2026-03-31,1.0,1.0,1.25600004196167,1.222000002861023,0.3619,0.292,0.3456,1,0,False
2026-03-31,3.0,1.0,1.590000033378601,1.13100004196167,0.4692,0.2682,0.2612,0,0,True
2026-03-31,1.0,1.0,0.9980000257492065,0.7609999775886536,0.3895,0.351,0.2594,1,1,True
2026-03-31,5.0,1.0,0.8939999938011169,2.114000082015991,0.1407,0.2122,0.641,0,2,False
2026-03-31,2.0,2.0,5.015999794006348,0.3970000147819519,0.7353,0.0203,0.0042,1,0,False
2026-03-31,1.0,2.0,1.3179999589920044,0.8149999976158142,0.474,0.3047,0.2208,2,1,False
2026-03-31,5.0,0.0,2.200000047683716,0.14900000393390656,0.8425,0.1345,0.0155,0,0,True
2026-03-31,0.0,5.0,1.1970000267028809,2.566999912261963,0.1526,0.1833,0.6476,2,2,True
2026-03-31,1.0,0.0,2.3320000171661377,0.07400000095367432,0.8747,0.109,0.0063,0,0,True
2026-05-22,2.0,0.0,0.8669999837875366,1.253000020980835,0.2462,0.3113,0.4422,0,1,False
2026-05-26,5.0,0.0,1.8890000581741333,0.05,0.8301,0.1599,0.0066,0,0,True
2026-05-28,1.0,0.0,1.6230000257492065,0.4320000112056732,0.662,0.2493,0.0872,0,0,True
2026-05-28,1.0,0.0,1.6779999732971191,2.9739999771118164,0.1912,0.1697,0.6052,0,2,False
2026-05-29,0.0,0.0,1.409999966621399,0.859000027179718,0.4883,0.2921,0.2189,1,0,False
2026-05-29,0.0,0.0,1.565999984741211,1.5369999408721924,0.3772,0.2557,0.3649,1,0,False
2026-05-29,3.0,1.0,1.8489999771118164,0.38600000739097595,0.7237,0.2103,0.0631,0,0,True
2026-05-29,0.0,1.0,0.40799999237060547,1.3279999494552612,0.1057,0.3008,0.5931,2,1,False
2026-05-30,2.0,1.0,0.37299999594688416,0.7670000195503235,0.1574,0.4326,0.41,0,1,False
2026-05-30,4.0,1.0,0.8059999942779541,2.38700008392334,0.1017,0.1799,0.7071,0,2,False
2026-05-30,5.0,0.0,1.531000018119812,0.6740000247955322,0.5698,0.2751,0.154,0,0,True
2026-05-30,1.0,0.0,0.800000011920929,1.3919999599456787,0.2056,0.2952,0.4985,0,2,False
2026-05-31,3.0,2.0,1.7079999446868896,2.4709999561309814,0.2562,0.2005,0.528,0,2,False
2026-05-31,1.0,0.0,2.818000078201294,0.25600001215934753,0.8673,0.0915,0.0161,0,0,True
2026-05-31,4.0,1.0,2.486999988555908,0.9879999756813049,0.6811,0.1808,0.1242,0,0,True
2026-05-31,3.0,0.0,1.2979999780654907,0.6990000009536743,0.4988,0.3096,0.1912,0,1,False
2026-05-31,4.0,0.0,2.553999900817871,0.7120000123977661,0.7506,0.1574,0.0763,0,0,True
2026-05-31,2.0,1.0,2.4619998931884766,0.4259999990463257,0.8042,0.1407,0.042,0,0,True
2026-05-31,6.0,2.0,1.649999976158142,0.24899999797344208,0.7243,0.2278,0.0464,0,0,True
2026-06-01,2.0,0.0,0.4129999876022339,0.875,0.1583,0.4008,0.4408,0,1,False
2026-06-01,4.0,0.0,2.1410000324249268,0.656000018119812,0.7041,0.1956,0.0938,0,0,True
2026-06-01,1.0,0.0,1.4520000219345093,0.5669999718666077,0.5793,0.2842,0.1357,0,0,True
2026-06-01,3.0,1.0,2.5179998874664307,1.5160000324249268,0.574,0.1956,0.2148,0,0,True
2026-06-01,3.0,1.0,2.2070000171661377,0.11400000005960464,0.8526,0.1284,0.0114,0,0,True
2026-06-02,1.0,1.0,0.9169999957084656,1.6959999799728394,0.1931,0.2583,0.5466,1,2,False
2026-06-02,4.0,0.0,0.46399998664855957,2.0450000762939453,0.0664,0.1913,0.7373,0,2,False
2026-06-02,4.0,0.0,1.9950000047683716,0.09399999678134918,0.8321,0.1519,0.0115,0,0,True
2026-06-02,0.0,2.0,1.7380000352859497,1.7580000162124634,0.3748,0.2378,0.3831,2,2,True
2026-06-03,0.0,0.0,1.2790000438690186,0.4729999899864197,0.5589,0.3121,0.1286,1,1,True
2026-06-03,4.0,2.0,1.7619999647140503,0.8679999709129333,0.5742,0.25,0.1735,0,0,True
2026-06-03,0.0,1.0,1.593000054359436,1.7339999675750732,0.347,0.2445,0.4051,2,2,True
2026-06-03,1.0,0.0,1.6360000371932983,0.5400000214576721,0.6336,0.2542,0.1107,0,0,True
2026-06-04,5.0,1.0,1.819000005722046,0.4830000102519989,0.69,0.2233,0.0839,0,0,True
2026-06-04,2.0,0.0,1.9220000505447388,0.40400001406669617,0.7322,0.2017,0.0625,0,0,True
2026-06-04,1.0,1.0,2.5220000743865967,0.3330000042915344,0.8312,0.1248,0.0292,1,0,False
2026-06-04,1.0,5.0,0.9240000247955322,2.8239998817443848,0.0901,0.1488,0.7357,2,2,True
2026-06-04,2.0,2.0,1.7829999923706055,0.6809999942779541,0.6279,0.2409,0.1288,1,0,False
2026-06-04,1.0,2.0,1.2589999437332153,0.9300000071525574,0.4284,0.3079,0.2633,2,1,False
2026-06-05,0.0,3.0,0.7020000219345093,3.0940001010894775,0.0498,0.1129,0.7988,2,2,True
2026-06-05,4.0,0.0,1.0750000476837158,1.0440000295639038,0.348,0.3195,0.3323,0,1,False
2026-06-05,1.0,2.0,1.9420000314712524,0.6899999976158142,0.6587,0.2213,0.1162,2,0,False
2026-06-05,1.0,1.0,1.8370000123977661,0.48899999260902405,0.6919,0.2213,0.0839,1,0,False
2026-06-06,3.0,0.0,0.9300000071525574,2.555000066757202,0.1093,0.1717,0.7032,0,2,False
2026-06-06,5.0,0.0,1.0369999408721924,1.0709999799728394,0.331,0.3204,0.3484,0,1,False
2026-06-06,1.0,0.0,0.6119999885559082,1.1740000247955322,0.1829,0.3307,0.4861,0,1,False
2026-06-06,2.0,1.0,1.5870000123977661,0.9139999747276306,0.5205,0.2708,0.2074,0,0,True
2026-06-06,1.0,2.0,1.2089999914169312,1.5130000114440918,0.2937,0.2728,0.4323,2,2,True
2026-06-06,1.0,1.0,1.2070000171661377,2.934999942779541,0.1226,0.1557,0.6911,1,2,False
2026-06-06,1.0,1.0,0.6850000023841858,1.25600004196167,0.193,0.316,0.4906,1,1,True
2026-06-06,0.0,0.0,1.0490000247955322,1.3860000371932983,0.2741,0.2898,0.4353,1,2,False
2026-06-06,2.0,0.0,2.2960000038146973,0.05,0.8776,0.1089,0.0043,0,0,True
2026-06-06,0.0,1.0,0.7689999938011169,2.3510000705718994,0.0981,0.1809,0.7105,2,2,True
2026-06-06,4.0,0.0,2.115999937057495,0.5410000085830688,0.7291,0.1895,0.0754,0,0,True
2026-06-06,0.0,4.0,0.722000002861023,3.2019999027252197,0.0478,0.107,0.8004,2,2,True
2026-06-06,2.0,1.0,3.0199999809265137,0.4819999933242798,0.8348,0.0998,0.0309,0,0,True
2026-06-06,1.0,2.0,0.8090000152587891,4.380000114440918,0.0238,0.0547,0.7676,2,2,True
2026-06-07,1.0,1.0,2.9679999351501465,1.7239999771118164,0.5958,0.1712,0.1991,1,0,False
2026-06-07,0.0,2.0,0.859000027179718,2.131999969482422,0.1324,0.2087,0.6525,2,2,True
2026-06-07,2.0,1.0,2.9159998893737793,0.33000001311302185,0.8579,0.0924,0.0203,0,0,True
2026-06-07,3.0,0.0,1.5829999446868896,0.5109999775886536,0.6289,0.2609,0.1089,0,0,True
2026-06-08,2.0,1.0,1.440999984741211,1.194000005722046,0.417,0.2792,0.3028,0,0,True
2026-06-08,3.0,1.0,2.2100000381469727,0.32499998807907104,0.7985,0.1564,0.0375,0,0,True
2026-06-08,1.0,3.0,0.3140000104904175,3.4030001163482666,0.0123,0.0623,0.8673,2,2,True
2026-06-09,1.0,2.0,1.1160000562667847,0.3319999873638153,0.5527,0.3444,0.1027,2,1,False
2026-06-09,3.0,0.0,1.6950000524520874,0.11800000071525574,0.7754,0.2028,0.0199,0,0,True
2026-06-09,0.0,0.0,0.4440000057220459,1.6109999418258667,0.0908,0.2521,0.6557,1,2,False
2026-06-09,0.0,2.0,1.3869999647140503,0.8500000238418579,0.4843,0.2951,0.22,2,0,False
2026-06-10,2.0,1.0,2.7009999752044678,0.5220000147819519,0.8063,0.1282,0.0449,0,0,True
2026-06-10,0.0,4.0,0.5770000219345093,2.759999990463257,0.0489,0.1281,0.8001,2,2,True
2026-06-10,3.0,0.0,1.4919999837875366,0.2280000001192093,0.6952,0.255,0.0489,0,0,True
2026-06-11,2.0,1.0,1.843000054359436,1.402999997138977,0.4686,0.2428,0.2851,0,0,True
2026-06-11,2.0,0.0,1.6319999694824219,0.9869999885559082,0.5138,0.2657,0.219,0,0,True
2026-06-12,1.0,1.0,3.2690000534057617,0.546999990940094,0.8317,0.0892,0.0302,1,0,False
2026-06-12,4.0,1.0,1.6660000085830688,1.0959999561309814,0.4958,0.2616,0.2407,0,0,True
2026-06-13,2.0,0.0,0.9729999899864197,2.062000036239624,0.162,0.2206,0.6121,0,2,False
2026-06-13,1.0,1.0,0.6930000185966492,1.7289999723434448,0.1369,0.2485,0.6125,1,2,False
2026-06-13,1.0,1.0,1.7660000324249268,1.4199999570846558,0.4475,0.2478,0.3016,1,0,False
2026-06-13,0.0,1.0,0.6830000281333923,2.184999942779541,0.0955,0.1926,0.7047,2,2,True
2026-06-14,7.0,1.0,2.6730000972747803,1.2829999923706055,0.6447,0.1783,0.157,0,0,True
2026-06-14,5.0,1.0,0.3269999921321869,1.909999966621399,0.0495,0.1953,0.7516,0,2,False
2026-06-14,1.0,0.0,0.7990000247955322,0.05,0.5311,0.4479,0.021,0,1,False
2026-06-14,2.0,2.0,1.5950000286102295,1.5779999494552612,0.3762,0.2523,0.369,1,0,False
2026-06-15,0.0,0.0,2.7219998836517334,0.7049999833106995,0.7703,0.1419,0.0664,1,0,False
2026-06-15,1.0,1.0,1.8240000009536743,1.2549999952316284,0.4961,0.2462,0.2546,1,0,False
2026-06-15,2.0,2.0,1.5850000381469727,0.9520000219345093,0.5105,0.2709,0.2173,1,0,False
2026-06-15,1.0,1.0,0.8920000195503235,0.5950000286102295,0.396,0.382,0.2219,1,1,True
2026-06-16,3.0,1.0,1.9179999828338623,2.125,0.3484,0.2163,0.4254,0,2,False
2026-06-16,1.0,4.0,1.8990000486373901,2.9630000591278076,0.2278,0.1747,0.5625,2,2,True
2026-06-16,3.0,0.0,2.4639999866485596,0.8700000047683716,0.7039,0.1764,0.1065,0,0,True
2026-06-16,3.0,1.0,3.184000015258789,1.00600004196167,0.7495,0.1272,0.0796,0,0,True
2026-06-17,1.0,3.0,1.031000018119812,1.840999960899353,0.2007,0.2442,0.552,2,2,True
2026-06-17,1.0,1.0,2.322999954223633,0.6890000104904175,0.725,0.1782,0.087,1,0,False
2026-06-17,1.0,0.0,1.0110000371932983,1.2109999656677246,0.2955,0.3089,0.3952,0,1,False
2026-06-17,4.0,2.0,1.6160000562667847,2.13100004196167,0.2865,0.2211,0.4846,0,2,False
2026-06-18,1.0,1.0,1.3009999990463257,1.3930000066757202,0.3395,0.2778,0.3816,1,2,False
2026-06-18,6.0,0.0,3.424999952316284,0.7459999918937683,0.803,0.0948,0.0426,0,0,True
2026-06-18,1.0,0.0,1.6770000457763672,2.259999990463257,0.2797,0.213,0.497,0,2,False
2026-06-18,4.0,1.0,3.0929999351501465,1.2430000305175781,0.6992,0.1463,0.1158,0,0,True
2026-06-19,0.0,1.0,1.0670000314712524,1.0850000381469727,0.3369,0.3167,0.3461,2,1,False
2026-06-19,0.0,1.0,1.184999942779541,2.503999948501587,0.1566,0.188,0.6409,2,2,True
2026-06-19,2.0,0.0,1.5889999866485596,1.3170000314712524,0.4276,0.2632,0.3074,0,0,True
2026-06-19,3.0,0.0,2.193000078201294,1.628000020980835,0.4942,0.2173,0.2797,0,0,True
2026-06-20,5.0,1.0,4.175000190734863,1.7319999933242798,0.6592,0.1071,0.1023,0,0,True
2026-06-20,0.0,0.0,0.9190000295639038,0.22100000083446503,0.5194,0.3987,0.0819,1,1,True
2026-06-20,0.0,4.0,1.6859999895095825,2.825000047683716,0.2087,0.1789,0.5852,2,2,True
2026-06-20,2.0,1.0,2.0169999599456787,1.3079999685287476,0.5262,0.2304,0.2383,0,0,True
2026-06-21,0.0,0.0,2.7860000133514404,1.6100000143051147,0.5946,0.1798,0.2004,1,0,False
