date,neutral,dias,peso_tiempo,peso_torneo,peso_total,home_ataque,home_defensa,home_diferencia_goles,home_forma_5,home_forma_10,home_forma_30,home_puntos_ponderados,home_victorias,home_empates,home_derrotas,home_elo,away_ataque,away_defensa,away_diferencia_goles,away_forma_5,away_forma_10,away_forma_30,away_puntos_ponderados,away_victorias,away_empates,away_derrotas,away_elo,target_home,target_away,home_ataque_pymc,home_defensa_pymc,away_ataque_pymc,away_defensa_pymc
2023-09-12,False,1017,0.1308112283485558,1.1,0.1438923511834114,,,,,,,,,,,,1.7548250720851162,1.5161073870392885,0.2387176850458277,0.1999999999999999,0.3333333333333333,0.5333333333333333,0.4318808276351979,0.4666666666666667,0.2,0.3333333333333333,1467.969715190573,2.0,2.0,-0.028031018423193,0.1655274761068263,-0.1566490229984467,-0.2232609892351341
2023-10-12,False,987,0.138900142958987,1.25,0.1736251786987337,,,,,,,,,,,,3.2388243008809687,0.9688344683986494,2.26998983248232,0.7333333333333334,0.7000000000000001,0.7000000000000001,0.8086651437333933,0.6333333333333333,0.2,0.1666666666666666,1510.163861914354,0.0,4.0,-0.028031018423193,0.1655274761068263,-0.0430663978644458,-0.0440670713051988
2023-10-12,False,987,0.138900142958987,1.1,0.1527901572548857,,,,,,,,,,,,1.7548250720851162,1.5161073870392885,0.2387176850458277,0.1999999999999999,0.3333333333333333,0.5333333333333333,0.4318808276351979,0.4666666666666667,0.2,0.3333333333333333,1467.969715190573,1.0,1.0,-0.028031018423193,0.1655274761068263,-0.2524582551073435,0.039195990633518
2023-10-13,False,986,0.1391782212304837,1.25,0.1739727765381046,,,,,,,,,,,,1.5446561705319717,1.4839865188312975,0.0606696517006739,0.3999999999999999,0.5,0.3666666666666667,0.4496753995809231,0.2666666666666666,0.3,0.4333333333333333,1479.753243564008,0.0,2.0,-0.028031018423193,0.1655274761068263,,
2023-10-15,False,984,0.1397360490272289,1.25,0.1746700612840361,3.2388243008809687,0.9688344683986494,2.26998983248232,0.7333333333333334,0.7000000000000001,0.7000000000000001,0.8086651437333933,0.6333333333333333,0.2,0.1666666666666666,1510.163861914354,2.595481477295646,0.674320155384142,1.921161321911504,0.6,0.7333333333333334,0.8125,0.7859032322605503,0.71875,0.28125,0.0,1536.6853852599268,0.0,1.0,-0.028031018423193,0.1655274761068263,-0.0938985312438683,0.1565760515101067
2023-10-15,True,984,0.1397360490272289,1.1,0.1537096539299518,1.7548250720851162,1.5161073870392885,0.2387176850458277,0.1999999999999999,0.3333333333333333,0.5333333333333333,0.4318808276351979,0.4666666666666667,0.2,0.3333333333333333,1467.969715190573,,,,,,,,,,,,2.0,3.0,-0.028031018423193,0.1655274761068263,-0.2437667203541007,-0.1188385780984616
2023-10-16,False,983,0.1400158007837894,1.25,0.1750197509797367,1.5446561705319717,1.4839865188312975,0.0606696517006739,0.3999999999999999,0.5,0.3666666666666667,0.4496753995809231,0.2666666666666666,0.3,0.4333333333333333,1479.753243564008,2.557155056446,0.9054377083811516,1.6517173480648482,0.8666666666666667,0.7000000000000001,0.7083333333333334,0.7061250328856485,0.625,0.25,0.125,1530.8933522753282,0.0,5.0,-0.028031018423193,0.1655274761068263,0.242504389783954,0.123848098922579
2023-10-17,False,982,0.1402961126037396,1.1,0.1543257238641136,1.745460942255417,1.4866793509996052,0.2587815912558118,0.2666666666666666,0.3,0.5333333333333333,0.4711778039089486,0.4333333333333333,0.3,0.2666666666666666,1478.8565705241597,,,,,,,,,,,,5.0,3.0,-0.028031018423193,0.1655274761068263,0.2960425306541573,0.330964692757561
2023-11-16,False,952,0.1489715397008938,0.75,0.1117286547756703,3.2388243008809687,0.9688344683986494,2.26998983248232,0.7333333333333334,0.7000000000000001,0.7000000000000001,0.8086651437333933,0.6333333333333333,0.2,0.1666666666666666,1510.163861914354,,,,,,,,,,,,2.0,0.0,-0.028031018423193,0.1655274761068263,,
2023-11-16,False,952,0.1489715397008938,0.75,0.1117286547756703,1.745460942255417,1.4866793509996052,0.2587815912558118,0.2666666666666666,0.3,0.5333333333333333,0.4711778039089486,0.4333333333333333,0.3,0.2666666666666666,1478.8565705241597,,,,,,,,,,,,1.0,1.0,,,-0.028031018423193,0.1655274761068263
2023-11-16,False,952,0.1489715397008938,1.25,0.1862144246261172,,,,,,,,,,,,1.5446561705319717,1.4839865188312975,0.0606696517006739,0.3999999999999999,0.5,0.3666666666666667,0.4496753995809231,0.2666666666666666,0.3,0.4333333333333333,1479.753243564008,4.0,1.0,-0.2988701234127664,-0.2728607455634941,-0.028031018423193,0.1655274761068263
2023-11-16,False,952,0.1489715397008938,1.5,0.2234573095513407,,,,,,,,,,,,1.0389495405447036,0.974913815671961,0.0640357248727425,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.5174561032305586,0.3666666666666666,0.3,0.3333333333333333,1493.3387353550158,0.0,0.0,-0.028031018423193,0.1655274761068263,-0.1311248794218609,0.1355495711101293
2023-11-16,False,952,0.1489715397008938,1.25,0.1862144246261172,,,,,,,,,,,,1.9051324896893007,1.86249445335979,0.0426380363295113,0.3333333333333333,0.3999999999999999,0.5222222222222223,0.4675435569998858,0.4666666666666667,0.1666666666666666,0.3666666666666666,1485.0978103218963,3.0,0.0,-0.028031018423193,0.1655274761068263,-0.0244649653784301,0.1345766045329662
2023-11-17,False,951,0.149269780922103,0.75,0.1119523356915772,,,,,,,,,,,,2.086369409460161,1.4406873166517424,0.6456820928084184,0.2666666666666666,0.1666666666666666,0.4555555555555555,0.4044880458426045,0.4,0.1666666666666666,0.4333333333333333,1466.84699228936,2.0,0.0,-0.028031018423193,0.1655274761068263,-0.3312182395316584,0.6015727995556603
2023-11-19,False,949,0.1498680557978433,1.25,0.1873350697473041,1.5446561705319717,1.4839865188312975,0.0606696517006739,0.3999999999999999,0.5,0.3666666666666667,0.4496753995809231,0.2666666666666666,0.3,0.4333333333333333,1479.753243564008,,,,,,,,,,,,1.0,2.0,-0.028031018423193,0.1655274761068263,0.3801932713375883,0.20337364924859
2023-11-19,False,949,0.1498680557978433,1.25,0.1873350697473041,1.4326638798633085,1.3016875734757638,0.1309763063875446,0.6,0.5,0.4408602150537634,0.4929223518687214,0.3870967741935484,0.1612903225806451,0.4516129032258064,1481.9905791661913,3.2388243008809687,0.9688344683986494,2.26998983248232,0.7333333333333334,0.7000000000000001,0.7000000000000001,0.8086651437333933,0.6333333333333333,0.2,0.1666666666666666,1510.163861914354,3.0,3.0,-0.028031018423193,0.1655274761068263,-0.0430663978644458,-0.0440670713051988
2023-11-19,False,949,0.1498680557978433,1.25,0.1873350697473041,1.9051324896893007,1.86249445335979,0.0426380363295113,0.3333333333333333,0.3999999999999999,0.5222222222222223,0.4675435569998858,0.4666666666666667,0.1666666666666666,0.3666666666666666,1485.0978103218963,,,,,,,,,,,,2.0,0.0,-0.028031018423193,0.1655274761068263,0.0232895413395836,0.1568331134436528
2023-11-20,False,948,0.1501680918454746,0.75,0.1126260688841059,1.745460942255417,1.4866793509996052,0.2587815912558118,0.2666666666666666,0.3,0.5333333333333333,0.4711778039089486,0.4333333333333333,0.3,0.2666666666666666,1478.8565705241597,,,,,,,,,,,,1.0,1.0,0.0337242257688365,-0.30622417549481,-0.028031018423193,0.1655274761068263
2023-11-21,False,947,0.1504687285656735,1.5,0.2257030928485103,1.0389495405447036,0.974913815671961,0.0640357248727425,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.5174561032305586,0.3666666666666666,0.3,0.3333333333333333,1493.3387353550158,2.0339451969093787,0.9497877922015172,1.0841574047078617,0.7999999999999999,0.7333333333333334,0.6451612903225806,0.6623940046432101,0.5806451612903226,0.1935483870967742,0.2258064516129032,1523.9192918832296,0.0,1.0,-0.028031018423193,0.1655274761068263,,
2023-11-21,False,947,0.1504687285656735,1.25,0.1880859107070919,2.048318616672112,1.1706691314896065,0.8776494851825059,0.3999999999999999,0.6333333333333333,0.6333333333333333,0.6621533815785989,0.5666666666666667,0.2,0.2333333333333333,1497.4516351377383,,,,,,,,,,,,1.0,0.0,-0.028031018423193,0.1655274761068263,-0.4702435104470057,0.0298921410712006
2023-11-21,False,947,0.1504687285656735,0.75,0.1128515464242551,2.208041886428307,0.828874416383238,1.379167470045069,0.7999999999999999,0.7333333333333334,0.688888888888889,0.6839523376827362,0.6333333333333333,0.1666666666666666,0.2,1520.0611821788216,2.710138846387597,1.0023507118214363,1.707788134566161,0.7999999999999999,0.9,0.6989247311827956,0.7374017292043833,0.6451612903225806,0.1612903225806451,0.1935483870967742,1522.9345058650842,2.0,0.0,-0.028031018423193,0.1655274761068263,,
2023-11-21,False,947,0.1504687285656735,0.75,0.1128515464242551,,,,,,,,,,,,2.086369409460161,1.4406873166517424,0.6456820928084184,0.2666666666666666,0.1666666666666666,0.4555555555555555,0.4044880458426045,0.4,0.1666666666666666,0.4333333333333333,1466.84699228936,1.0,1.0,,,-0.028031018423193,0.1655274761068263
2023-11-21,False,947,0.1504687285656735,1.5,0.2257030928485103,,,,,,,,,,,,1.3369833924490886,0.9472049090598884,0.3897784833892003,0.3333333333333333,0.3666666666666667,0.3999999999999999,0.4960436160362083,0.3,0.3,0.4,1483.1398061805928,1.0,0.0,-0.028031018423193,0.1655274761068263,,
2024-01-08,False,899,0.1656298168163149,0.75,0.1242223626122361,1.3369833924490886,0.9472049090598884,0.3897784833892003,0.3333333333333333,0.3666666666666667,0.3999999999999999,0.4960436160362083,0.3,0.3,0.4,1483.1398061805928,,,,,,,,,,,,0.0,0.0,-0.028031018423193,0.1655274761068263,-0.0480438736948375,-0.2614738905801519
2024-01-12,True,895,0.1669601696670407,0.75,0.1252201272502805,1.9051324896893007,1.86249445335979,0.0426380363295113,0.3333333333333333,0.3999999999999999,0.5222222222222223,0.4675435569998858,0.4666666666666667,0.1666666666666666,0.3666666666666666,1485.0978103218963,,,,,,,,,,,,2.0,1.0,-0.028031018423193,0.1655274761068263,0.328118328520474,0.0776530189152822
2024-01-14,True,893,0.167629347809757,0.75,0.1257220108573177,2.32298535796551,0.6087293510327096,1.714256006932801,0.7333333333333334,0.7999999999999999,0.7333333333333334,0.7099833214085033,0.6666666666666666,0.2,0.1333333333333333,1515.7373839925715,,,,,,,,,,,,4.0,2.0,-0.2988701234127664,-0.2728607455634941,-0.028031018423193,0.1655274761068263
2024-01-14,True,893,0.167629347809757,1.1,0.1843922825907327,1.3369833924490886,0.9472049090598884,0.3897784833892003,0.3333333333333333,0.3666666666666667,0.3999999999999999,0.4960436160362083,0.3,0.3,0.4,1483.1398061805928,1.348739679120333,1.0578115394969634,0.2909281396233696,0.3999999999999999,0.3999999999999999,0.5376344086021505,0.5227861106915027,0.4193548387096774,0.3548387096774194,0.2258064516129032,1499.09428133141,1.0,2.0,-0.2034946865774373,0.259717395925289,-0.028031018423193,0.1655274761068263
2024-01-14,True,893,0.167629347809757,0.75,0.1257220108573177,1.771314189018074,0.7856036051746303,0.9857105838434436,0.7333333333333334,0.5333333333333333,0.688888888888889,0.625591438822085,0.6,0.2666666666666666,0.1333333333333333,1499.284339745049,,,,,,,,,,,,4.0,1.0,-0.028031018423193,0.1655274761068263,,
